"Primary ISBN10","Primary ISBN13",Title,Author
1935654357,9781935654353,"CHI’S SWEET HOME, VOL. 8","Konami Kanata"
1626921407,9781626921405,"CITRUS, VOL. 1",Saburouta
1421537966,9781421537962,"CLAYMORE, VOL. 17","Norihiro Yagi"
1421542110,9781421542119,"CLAYMORE, VOL. 17","Norihiro Yagi"
1421539357,9781421539355,"CLAYMORE, VOL. 18","Norihiro Yagi"
1421540789,9781421540788,"CLAYMORE, VOL. 19","Norihiro Yagi"
0316200980,9780316200981,"CLOCKWORK ANGEL","Cassandra Clare"
1604962038,9781604962031,"CODE GEASS MANGA, Vol. 3","Goro Taniguichi"
1935429779,9781935429777,"CODENAME: SAILOR V, Vol. 1","Naoko Takeuchi"
1935429787,9781935429784,"CODENAME: SAILOR, VOL. 2","Naoko Takeuchi"
1421564238,9781421564234,"CRIMSON SPELL, VOL. 3","Ayano Yamane"
1421564246,9781421564241,"CRIMSON SPELL, VOL. 4","Ayano Yamane"
1421567652,9781421567655,"CRIMSON SPELL, VOL. 5","Ayano Yamane"
1439578710,9781439578711,"D. GRAY-MAN 13","Katsura Hoshino"
142152600X,9781421526003,"D. GRAY-MAN, VOL. 14","Katsura Hoshino"
142152774X,9781421527741,"D. GRAY-MAN, VOL. 15","Katsura Hoshino"
1421530384,9781421530383,"D. GRAY-MAN, VOL. 16","Katsura Hoshino"
1421531607,9781421531601,"D. GRAY-MAN, VOL. 17","Katsura Hoshino"
1421535432,9781421535432,"D. GRAY-MAN, VOL. 18","Katsura Hoshino"
1421539195,9781421539195,"D. GRAY-MAN, VOL. 20","Katsura Hoshino"
1421540770,9781421540771,"D. GRAY-MAN, VOL. 21","Katsura Hoshino"
1421542102,9781421542102,"D. GRAY-MAN, VOL. 21","Katsura Hoshino"
1427815933,9781427815934,"D. N. ANGEL, VOL. 12","Yukiru Sugisaki"
1427816263,9781427816269,"D. N. ANGEL, VOL. 13","Yukiru Sugisaki"
